                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.90491,                 1.7296,                0.57525,                0.90914,                0.83623,                0.76991,                0.79071,                0.67721,                0.49042,                0.47211,                0.47237,                0.29969,                 1.4307,                 6.9444,                0.80192,                0.89948,             0.00019084,             0.00019084,             0.00019084
                     35,                0.96807,                 2.2874,                0.62638,                0.94166,                0.84104,                0.77469,                0.78738,                0.67461,                0.48218,                0.46783,                  0.467,                0.30684,                 1.4619,                 6.8417,                0.81423,                0.90578,             0.00019652,             0.00019652,             0.00019652
                     36,                 1.2582,                 3.2018,                 0.7466,                0.99935,                0.84104,                0.77469,                0.78738,                0.67461,                0.48218,                0.46783,                  0.467,                0.30684,                 1.4619,                 6.8417,                0.81423,                0.90578,              0.0002022,              0.0002022,              0.0002022
                     37,                 1.2085,                 3.0682,                0.73618,                0.95162,                0.83085,                0.77166,                0.78214,                 0.6779,                0.47988,                0.46784,                0.46216,                 0.3112,                 1.4945,                 6.8352,                0.83378,                0.91308,             0.00020787,             0.00020787,             0.00020787
                     38,                 1.2881,                 2.7628,                0.79296,                0.98127,                0.83085,                0.77166,                0.78214,                 0.6779,                0.47988,                0.46784,                0.46216,                 0.3112,                 1.4945,                 6.8352,                0.83378,                0.91308,             0.00021354,             0.00021354,             0.00021354
                     39,                 1.0267,                 2.2286,                 0.6247,                0.91375,                0.84214,                0.76238,                0.77753,                0.65667,                0.48448,                0.46729,                 0.4627,                0.31647,                 1.5254,                  7.059,                0.84519,                0.91768,             0.00021919,             0.00021919,             0.00021919
                     40,                 1.4484,                 3.6564,                0.89789,                0.98926,                0.84214,                0.76238,                0.77753,                0.65667,                0.48448,                0.46729,                 0.4627,                0.31647,                 1.5254,                  7.059,                0.84519,                0.91768,             0.00022485,             0.00022485,             0.00022485
                     41,                 1.1343,                 2.6244,                0.70157,                0.97612,                0.83738,                0.75777,                0.77587,                0.64953,                0.48829,                0.46302,                0.45979,                0.31295,                 1.5507,                 7.3136,                0.84761,                0.92435,              0.0002305,              0.0002305,              0.0002305
                     42,                 1.1205,                 2.5023,                 0.6738,                0.93907,                0.83738,                0.75777,                0.77587,                0.64953,                0.48829,                0.46302,                0.45979,                0.31295,                 1.5507,                 7.3136,                0.84761,                0.92435,             0.00023614,             0.00023614,             0.00023614
                     43,                 1.4068,                 3.2386,                0.82808,                 1.0647,                 0.8831,                0.76573,                0.77505,                0.64904,                0.55264,                0.47005,                0.46964,                0.31526,                   1.52,                 7.4823,                0.83826,                0.92235,             0.00024177,             0.00024177,             0.00024177
                     44,                 1.4354,                  3.962,                0.93943,                0.99363,                 0.8831,                0.76573,                0.77505,                0.64904,                0.55264,                0.47005,                0.46964,                0.31526,                   1.52,                 7.4823,                0.83826,                0.92235,              0.0002474,              0.0002474,              0.0002474
                     45,                 1.0904,                 2.3962,                0.68555,                0.93543,                0.86523,                0.77094,                0.77439,                0.65624,                0.56028,                0.47454,                0.47417,                0.30196,                 1.5175,                   7.44,                0.82491,                0.92595,             0.00025303,             0.00025303,             0.00025303
                     46,                 1.2498,                 2.7717,                0.79549,                 1.0027,                0.86523,                0.77094,                0.77439,                0.65624,                0.56028,                0.47454,                0.47417,                0.30196,                 1.5175,                   7.44,                0.82491,                0.92595,             0.00025865,             0.00025865,             0.00025865
                     47,                 1.0972,                 3.0154,                 0.7202,                0.92525,                0.88419,                0.75925,                0.77255,                0.65648,                0.56534,                0.46788,                0.46789,                0.31392,                 1.5695,                 7.4949,                0.83053,                0.92998,             0.00026426,             0.00026426,             0.00026426
                     48,                 1.3182,                 3.2995,                0.84541,                 1.0624,                0.88419,                0.75925,                0.77255,                0.65648,                0.56534,                0.46788,                0.46789,                0.31392,                 1.5695,                 7.4949,                0.83053,                0.92998,             0.00026987,             0.00026987,             0.00026987
                     49,                 1.2049,                 2.8744,                  0.752,                0.94193,                0.86424,                0.75925,                0.78732,                0.65816,                0.54472,                0.46785,                0.47178,                0.31865,                 1.5598,                 7.4547,                0.82788,                 0.9353,             0.00027547,             0.00027547,             0.00027547
                     50,                 1.4586,                 3.3779,                0.84382,                 1.0469,                0.86424,                0.75925,                0.78732,                0.65816,                0.54472,                0.46785,                0.47178,                0.31865,                 1.5598,                 7.4547,                0.82788,                 0.9353,             0.00028106,             0.00028106,             0.00028106
                     51,                 1.2968,                 2.6882,                0.79066,                0.97853,                0.85393,                0.76357,                0.78812,                0.66019,                0.62845,                0.54242,                0.54866,                0.31728,                  1.566,                 7.2964,                0.87189,                0.92602,             0.00028665,             0.00028665,             0.00028665
                     52,                 1.1374,                 2.6928,                0.71753,                0.95036,                0.85393,                0.76357,                0.78812,                0.66019,                0.62845,                0.54242,                0.54866,                0.31728,                  1.566,                 7.2964,                0.87189,                0.92602,             0.00029223,             0.00029223,             0.00029223
                     53,                 1.3099,                 3.0948,                0.80894,                0.93743,                0.85393,                0.76357,                0.78812,                0.66019,                0.62845,                0.54242,                0.54866,                0.31728,                  1.566,                 7.2964,                0.87189,                0.92602,             0.00029781,             0.00029781,             0.00029781
                     54,                 1.1686,                 2.6596,                0.71923,                0.96058,                0.87951,                  0.752,                0.79078,                0.64776,                0.63327,                0.54048,                0.54523,                0.31036,                 1.5702,                 7.0524,                0.91772,                0.92456,             0.00030338,             0.00030338,             0.00030338
                     55,                 1.0885,                 2.6054,                0.69218,                 0.9836,                0.87951,                  0.752,                0.79078,                0.64776,                0.63327,                0.54048,                0.54523,                0.31036,                 1.5702,                 7.0524,                0.91772,                0.92456,             0.00030895,             0.00030895,             0.00030895
                     56,                 1.1837,                 2.9261,                0.78364,                0.99714,                0.87951,                  0.752,                0.79078,                0.64776,                0.63327,                0.54048,                0.54523,                0.31036,                 1.5702,                 7.0524,                0.91772,                0.92456,             0.00031451,             0.00031451,             0.00031451
                     57,                 1.2044,                 2.8379,                0.77616,                0.98731,                0.87555,                0.75815,                0.78211,                0.63972,                0.55553,                 0.5383,                 0.5331,                0.30228,                 1.6276,                 6.9738,                 0.9258,                0.92935,             0.00032006,             0.00032006,             0.00032006
