                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.61919,                0.44299,                0.90386,                 0.9322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.059354,             0.00035397,             0.00035397
                     43,                0.62281,                0.52823,                0.76988,                0.90469,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.058361,              0.0003612,              0.0003612
                     44,                0.67425,                0.53139,                 2.3337,                 1.0119,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.057368,             0.00036837,             0.00036837
                     45,                0.80291,                0.64959,                0.86142,                0.89863,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.056375,             0.00037547,             0.00037547
                     46,                0.62341,                0.40342,                 1.7762,                0.96874,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.055383,              0.0003825,              0.0003825
                     47,                0.74102,                0.83106,                 0.7348,                0.89159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.054389,             0.00038947,             0.00038947
                     48,                   0.64,                0.59659,                0.92254,                0.91452,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.053396,             0.00039637,             0.00039637
                     49,                0.63582,                0.65764,                0.80459,                0.93768,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.052403,              0.0004032,              0.0004032
                     50,                0.58206,                0.73382,                0.74476,                0.84787,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.05141,             0.00040997,             0.00040997
                     51,                0.55727,                0.40587,                0.94446,                0.92129,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.050417,             0.00041667,             0.00041667
                     52,                0.53211,                0.40957,                0.81287,                0.90666,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.049423,              0.0004233,              0.0004233
