                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.2552,                 1.2913,                 1.1172,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.020587,             0.00058667,             0.00058667
                     82,                 1.3172,                0.88361,                0.93165,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.019591,              0.0005913,              0.0005913
                     83,                 1.2317,                 1.0208,                 1.0138,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.018596,             0.00059587,             0.00059587
                     84,                 1.3591,                0.88134,                0.97128,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0176,             0.00060037,             0.00060037
                     85,                 1.3379,                 1.0178,                 1.0617,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.016605,              0.0006048,              0.0006048
                     86,                 1.2479,                0.93004,                0.95995,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.015609,             0.00060917,             0.00060917
                     87,                 1.2728,                0.90047,                0.91094,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.014613,             0.00061347,             0.00061347
                     88,                 1.1707,                 1.0793,                 1.0093,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.013618,              0.0006177,              0.0006177
                     89,                 1.2171,                 1.0945,                 1.0554,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.012622,             0.00062187,             0.00062187
                     90,                  1.336,                0.88533,                0.95847,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.011626,             0.00062597,             0.00062597
                     91,                 1.2214,                0.87173,                0.93708,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.01063,                0.00063,                0.00063
                     92,                 1.3613,                  0.925,                0.99437,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009634,             0.00063397,             0.00063397
                     93,                 1.3466,                0.88404,                 1.0245,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0086379,             0.00063787,             0.00063787
                     94,                 1.4351,                0.91279,                0.99453,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0076417,              0.0006417,              0.0006417
                     95,                 1.4151,                0.98555,                0.98651,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0066455,             0.00064547,             0.00064547
                     96,                 1.2941,                  0.955,                 1.1126,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0056492,             0.00064917,             0.00064917
                     97,                 1.0204,                0.88791,                0.97957,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0046528,              0.0006528,              0.0006528
                     98,                 1.3715,                0.89996,                0.98202,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0036564,             0.00065637,             0.00065637
                     99,                 1.1889,                 0.8283,                0.94001,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0026599,             0.00065987,             0.00065987
                    100,                 1.1919,                0.88829,                 1.0298,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0016633,              0.0006633,              0.0006633
                    101,                 1.1296,                 1.0518,                 1.0339,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00066667,             0.00066667,             0.00066667
                    102,                 1.1093,                0.93392,                0.98735,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00066667,             0.00066667,             0.00066667
                    103,                 1.2927,                0.85123,                0.93652,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00066333,             0.00066333,             0.00066333
                    104,                 1.4023,                0.93031,                0.98287,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00066,                0.00066,                0.00066
                    105,                 1.2785,                 1.0701,                 1.1022,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00065667,             0.00065667,             0.00065667
